class_x,family_x,genus_x,id,kingdom_x,name,order_x,phylum_x,supercategory,dir18,order_y,dir19,commonname,yose_score,yose_join,Scientific Name,Synonyms,Common Name,Occurrence,Occurrence Tags,Abundance,Nativeness,Nativeness Tags,marine,label
Arachnida,Oecobiidae,Oecobius,53.0,Animalia,Oecobius navus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/53,,,Disc web spiders,71,,,,,,,,,,,Disc web spiders
Arachnida,Oxyopidae,Oxyopes,54.0,Animalia,Oxyopes gracilipes,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/54,,,,71,,,,,,,,,,,Oxyopes gracilipes
Arachnida,Oxyopidae,Oxyopes,55.0,Animalia,Oxyopes salticus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/55,,,Striped Lynx Spider,62,,,,,,,,,,,Striped Lynx Spider
Arachnida,Oxyopidae,Oxyopes,56.0,Animalia,Oxyopes scalaris,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/56,,,Western Lynx Spider,62,,,,,,,,,,,Western Lynx Spider
Arachnida,Oxyopidae,Peucetia,57.0,Animalia,Peucetia viridans,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/57,,,Green Lynx Spider,73,,,,,,,,,,,Green Lynx Spider
Arachnida,Pisauridae,Dolomedes,58.0,Animalia,Dolomedes albineus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/58,,,,67,,,,,,,,,,,Dolomedes albineus
Arachnida,Pisauridae,Dolomedes,59.0,Animalia,Dolomedes minor,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/59,,,,67,,,,,,,,,,,Dolomedes minor
Arachnida,Pisauridae,Dolomedes,60.0,Animalia,Dolomedes scriptus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/60,,,Striped Fishing Spider,62,,,,,,,,,,,Striped Fishing Spider
Arachnida,Pisauridae,Pisaura,61.0,Animalia,Pisaura mirabilis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/61,,,Nursery web Spider,67,,,,,,,,,,,Nursery web Spider
Arachnida,Salticidae,Anasaitis,62.0,Animalia,Anasaitis canosa,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/62,,,,67,,,,,,,,,,,Anasaitis canosa
Arachnida,Salticidae,Colonus,63.0,Animalia,Colonus hesperus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/63,,,,75,,,,,,,,,,,Colonus hesperus
Arachnida,Salticidae,Colonus,64.0,Animalia,Colonus sylvanus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/64,,,,64,,,,,,,,,,,Colonus sylvanus
Arachnida,Salticidae,Eris,65.0,Animalia,Eris militaris,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/65,,,Bronze Jumper,71,,,,,,,,,,,Bronze Jumper
Arachnida,Salticidae,Hasarius,66.0,Animalia,Hasarius adansoni,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/66,,,Adanson's House Jumper,65,,,,,,,,,,,Adanson's House Jumper
Arachnida,Salticidae,Helpis,67.0,Animalia,Helpis minitabunda,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/67,,,,69,,,,,,,,,,,Helpis minitabunda
Arachnida,Salticidae,Hentzia,68.0,Animalia,Hentzia palmarum,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/68,,,,69,,,,,,,,,,,Hentzia palmarum
Arachnida,Salticidae,Lyssomanes,69.0,Animalia,Lyssomanes viridis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/69,,,,67,,,,,,,,,,,Lyssomanes viridis
Arachnida,Salticidae,Maevia,70.0,Animalia,Maevia inclemens,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/70,,,Dimorphic Jumping Spider,69,,,,,,,,,,,Dimorphic Jumping Spider
Arachnida,Salticidae,Menemerus,71.0,Animalia,Menemerus semilimbatus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/71,,,,67,,,,,,,,,,,Menemerus semilimbatus
Arachnida,Salticidae,Naphrys,72.0,Animalia,Naphrys pulex,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/72,,,,69,,,,,,,,,,,Naphrys pulex
Arachnida,Salticidae,Opisthoncus,73.0,Animalia,Opisthoncus polyphemus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/73,,,,65,,,,,,,,,,,Opisthoncus polyphemus
Arachnida,Salticidae,Paraphidippus,74.0,Animalia,Paraphidippus fartilis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/74,,,,65,,,,,,,,,,,Paraphidippus fartilis
Arachnida,Salticidae,Pelegrina,75.0,Animalia,Pelegrina galathea,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/75,,,Peppered Jumper,69,,,,,,,,,,,Peppered Jumper
Arachnida,Salticidae,Phidippus,76.0,Animalia,Phidippus audax,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/76,,,Bold Jumping Spider,60,,,,,,,,,,,Bold Jumping Spider
Arachnida,Salticidae,Phidippus,77.0,Animalia,Phidippus clarus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/77,,,,62,,,,,,,,,,,Phidippus clarus
Arachnida,Salticidae,Philaeus,78.0,Animalia,Philaeus chrysops,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/78,,,,71,,,,,,,,,,,Philaeus chrysops
Arachnida,Salticidae,Plexippus,79.0,Animalia,Plexippus paykulli,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/79,,,Large Housefly Catcher,56,,,,,,,,,,,Large Housefly Catcher
Arachnida,Salticidae,Salticus,80.0,Animalia,Salticus scenicus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/80,,,Zebra Spider,65,,,,,,,,,,,Zebra Spider
Arachnida,Salticidae,Sassacus,81.0,Animalia,Sassacus vitis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/81,,,,64,,,,,,,,,,,Sassacus vitis
Arachnida,Salticidae,Sitticus,82.0,Animalia,Sitticus fasciger,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/82,,,,56,,,,,,,,,,,Sitticus fasciger
Arachnida,Salticidae,Trite,83.0,Animalia,Trite auricoma,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/83,,,Golden brown Jumping Spider,69,,,,,,,,,,,Golden brown Jumping Spider
Arachnida,Sparassidae,Heteropoda,84.0,Animalia,Heteropoda venatoria,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/84,,,Domestic Huntsman Spider,67,,,,,,,,,,,Domestic Huntsman Spider
Arachnida,Stiphidiidae,Stiphidion,85.0,Animalia,Stiphidion facetum,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/85,,,,62,,,,,,,,,,,Stiphidion facetum
Arachnida,Tetragnathidae,Leucauge,86.0,Animalia,Leucauge argyra,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/86,,,Longjawed orb weavers,60,,,,,,,,,,,Longjawed orb weavers
Arachnida,Tetragnathidae,Leucauge,87.0,Animalia,Leucauge venusta,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/87,,,Orchard Orbweaver,64,,,,,,,,,,,Orchard Orbweaver
Arachnida,Theraphosidae,Aphonopelma,88.0,Animalia,Aphonopelma chalcodes,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/88,,,Western Desert Tarantula,58,,,,,,,,,,,Western Desert Tarantula
Arachnida,Theraphosidae,Aphonopelma,89.0,Animalia,Aphonopelma hentzi,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/89,,,Oklahoma Brown Tarantula,61,,,,,,,,,,,Oklahoma Brown Tarantula
Arachnida,Theraphosidae,Brachypelma,90.0,Animalia,Brachypelma emilia,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/90,,,Mexican Red legged Tarantula,61,,,,,,,,,,,Mexican Red legged Tarantula
Arachnida,Theridiidae,Cryptachaea,91.0,Animalia,Cryptachaea veruculata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/91,,,Diamond Comb footed Spider,73,,,,,,,,,,,Diamond Comb footed Spider
Arachnida,Theridiidae,Enoplognatha,92.0,Animalia,Enoplognatha ovata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/92,,,,62,,,,,,,,,,,Enoplognatha ovata
Arachnida,Theridiidae,Latrodectus,93.0,Animalia,Latrodectus geometricus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/93,,,Brown Widow,67,,,,,,,,,,,Brown Widow
Arachnida,Theridiidae,Latrodectus,94.0,Animalia,Latrodectus hesperus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/94,,,Western Black Widow,75,,,,,,,,,,,Western Black Widow
Arachnida,Theridiidae,Latrodectus,95.0,Animalia,Latrodectus katipo,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/95,,,Katipo,61,,,,,,,,,,,Katipo
Arachnida,Theridiidae,Latrodectus,96.0,Animalia,Latrodectus mactans,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/96,,,Southern Black Widow,67,,,,,,,,,,,Southern Black Widow
Arachnida,Theridiidae,Latrodectus,97.0,Animalia,Latrodectus variolus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/97,,,Northern Black Widow,65,,,,,,,,,,,Northern Black Widow
Arachnida,Theridiidae,Steatoda,98.0,Animalia,Steatoda nobilis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/98,,,Noble False Widow,67,,,,,,,,,,,Noble False Widow
Arachnida,Thomisidae,Diaea,99.0,Animalia,Diaea ambara,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/99,,,,75,,,,,,,,,,,Diaea ambara
Arachnida,Thomisidae,Misumena,100.0,Animalia,Misumena vatia,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/100,,,Flower Spider,64,,,,,,,,,,,Flower Spider
Arachnida,Thomisidae,Misumenoides,101.0,Animalia,Misumenoides formosipes,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/101,,,Whitebanded Crab Spider,59,,,,,,,,,,,Whitebanded Crab Spider
Arachnida,Thomisidae,Sidymella,102.0,Animalia,Sidymella trapezia,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/102,,,,64,,,,,,,,,,,Sidymella trapezia
Arachnida,Thomisidae,Synema,103.0,Animalia,Synema globosum,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/103,,,,69,,,,,,,,,,,Synema globosum
Arachnida,Thomisidae,Thomisus,104.0,Animalia,Thomisus onustus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/104,,,,69,,,,,,,,,,,Thomisus onustus
Arachnida,Zoropsidae,Uliodon,105.0,Animalia,Uliodon albopunctatus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/105,,,,68,,,,,,,,,,,Uliodon albopunctatus
Arachnida,Ixodidae,Amblyomma,106.0,Animalia,Amblyomma maculatum,Ixodida,Arthropoda,Arachnida,train_val2018/Arachnida/106,,,Gulfcoast Tick,71,,,,,,,,,,,Gulfcoast Tick
Arachnida,Ixodidae,Dermacentor,107.0,Animalia,Dermacentor occidentalis,Ixodida,Arthropoda,Arachnida,train_val2018/Arachnida/107,,,,84,,,,,,,,,,,Dermacentor occidentalis
Arachnida,Ixodidae,Ixodes,108.0,Animalia,Ixodes pacificus,Ixodida,Arthropoda,Arachnida,train_val2018/Arachnida/108,,,California Black Legged Tick,88,,,,,,,,,,,California Black Legged Tick
Arachnida,Sclerosomatidae,Leiobunum,109.0,Animalia,Leiobunum vittatum,Opiliones,Arthropoda,Arachnida,train_val2018/Arachnida/109,,,,67,,,,,,,,,,,Leiobunum vittatum
Arachnida,Buthidae,Centruroides,110.0,Animalia,Centruroides gracilis,Scorpiones,Arthropoda,Arachnida,train_val2018/Arachnida/110,,,Slenderbrown Scorpion,71,,,,,,,,,,,Slenderbrown Scorpion
Arachnida,Buthidae,Centruroides,111.0,Animalia,Centruroides sculpturatus,Scorpiones,Arthropoda,Arachnida,train_val2018/Arachnida/111,,,Arizona Bark Scorpion,62,,,,,,,,,,,Arizona Bark Scorpion
Arachnida,Buthidae,Centruroides,112.0,Animalia,Centruroides vittatus,Scorpiones,Arthropoda,Arachnida,train_val2018/Arachnida/112,,,Striped Bark Scorpion,62,,,,,,,,,,,Striped Bark Scorpion
Arachnida,Caraboctonidae,Hadrurus,113.0,Animalia,Hadrurus arizonensis,Scorpiones,Arthropoda,Arachnida,train_val2018/Arachnida/113,,,Arizona hairy scorpion,73,,,,,,,,,,,Arizona hairy scorpion
Arachnida,Vaejovidae,Paravaejovis,114.0,Animalia,Paravaejovis spinigerus,Scorpiones,Arthropoda,Arachnida,train_val2018/Arachnida/114,,,,59,,,,,,,,,,,Paravaejovis spinigerus
Arachnida,Vaejovidae,Paruroctonus,115.0,Animalia,Paruroctonus silvestrii,Scorpiones,Arthropoda,Arachnida,train_val2018/Arachnida/115,,,,65,,,,,,,,,,,Paruroctonus silvestrii
Arachnida,Vaejovidae,Uroctonus,116.0,Animalia,Uroctonus mordax,Scorpiones,Arthropoda,Arachnida,train_val2018/Arachnida/116,,,,67,,,,,,,,,,,Uroctonus mordax
Arachnida,Vaejovidae,Vaejovis,117.0,Animalia,Vaejovis carolinianus,Scorpiones,Arthropoda,Arachnida,train_val2018/Arachnida/117,,,,67,,,,,,,,,,,Vaejovis carolinianus
Arachnida,Eriophyidae,Aculops,118.0,Animalia,Aculops rhois,Trombidiformes,Arthropoda,Arachnida,train_val2018/Arachnida/118,,,,69,,,,,,,,,,,Aculops rhois
Arachnida,Tetranychidae,Tetranychus,119.0,Animalia,Tetranychus lintearius,Trombidiformes,Arthropoda,Arachnida,train_val2018/Arachnida/119,,,Gorse Spider Mite,68,,,,,,,,,,,Gorse Spider Mite
Arachnida,Trombidiidae,Trombidium,120.0,Animalia,Trombidium holosericeum,Trombidiformes,Arthropoda,Arachnida,train_val2018/Arachnida/120,,,Velvet mite,69,,,,,,,,,,,Velvet mite
Chilopoda,Scolopendridae,Scolopendra,121.0,Animalia,Scolopendra subspinipes,Scolopendromorpha,Arthropoda,Animalia,train_val2018/Animalia/121,,,Vietnamese Centipede,58,,,,,,,,,,,Vietnamese Centipede
Chilopoda,Scutigeridae,Scutigera,122.0,Animalia,Scutigera coleoptrata,Scutigeromorpha,Arthropoda,Animalia,train_val2018/Animalia/122,,,House centipede,62,,,,,,,,,,,House centipede
Diplopoda,Polydesmidae,Pseudopolydesmus,123.0,Animalia,Pseudopolydesmus serratus,Polydesmida,Arthropoda,Animalia,train_val2018/Animalia/123,,,,71,,,,,,,,,,,Pseudopolydesmus serratus
Diplopoda,Xystodesmidae,Apheloria,124.0,Animalia,Apheloria virginiensis,Polydesmida,Arthropoda,Animalia,train_val2018/Animalia/124,,,,71,,,,,,,,,,,Apheloria virginiensis
Diplopoda,Xystodesmidae,Harpaphe,125.0,Animalia,Harpaphe haydeniana,Polydesmida,Arthropoda,Animalia,train_val2018/Animalia/125,,,Yellow spotted Millipede,81,,,,,,,,,,,Yellow spotted Millipede
Diplopoda,Xystodesmidae,Rudiloria,126.0,Animalia,Rudiloria trimaculata,Polydesmida,Arthropoda,Animalia,train_val2018/Animalia/126,,,,71,,,,,,,,,,,Rudiloria trimaculata
Diplopoda,Xystodesmidae,Xystocheir,127.0,Animalia,Xystocheir dissecta,Polydesmida,Arthropoda,Animalia,train_val2018/Animalia/127,,,,63,,,,,,,,,,,Xystocheir dissecta
Diplopoda,Rhinocricidae,Anadenobolus,128.0,Animalia,Anadenobolus monilicornis,Spirobolida,Arthropoda,Animalia,train_val2018/Animalia/128,,,Bumble Bee Millipede,65,,,,,,,,,,,Bumble Bee Millipede
Diplopoda,Spirobolidae,Narceus,129.0,Animalia,Narceus annularis,Spirobolida,Arthropoda,Animalia,train_val2018/Animalia/129,,,,67,,,,,,,,,,,Narceus annularis
Diplopoda,Trigoniulidae,Trigoniulus,130.0,Animalia,Trigoniulus corallinus,Spirobolida,Arthropoda,Animalia,train_val2018/Animalia/130,,,,67,,,,,,,,,,,Trigoniulus corallinus
Diplopoda,Spirostreptidae,Orthoporus,131.0,Animalia,Orthoporus ornatus,Spirostreptida,Arthropoda,Animalia,train_val2018/Animalia/131,,,,72,,,,,,,,,,,Orthoporus ornatus
Hexanauplia,Lepadidae,Lepas,132.0,Animalia,Lepas anatifera,Lepadiformes,Arthropoda,Animalia,train_val2018/Animalia/132,,,Common goose barnacle,67,,,,,,,,,,True,Common goose barnacle
Hexanauplia,Pollicipedidae,Pollicipes,133.0,Animalia,Pollicipes polymerus,Scalpelliformes,Arthropoda,Animalia,train_val2018/Animalia/133,,,Leaf barnacle,62,,,,,,,,,,True,Leaf barnacle
Hexanauplia,Archaeobalanidae,Semibalanus,134.0,Animalia,Semibalanus balanoides,Sessilia,Arthropoda,Animalia,train_val2018/Animalia/134,,,Acorn barnacle,70,,,,,,,,,,True,Acorn barnacle
